label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
odroid4,88.8,87.2,85.7,83.9,83.8,83.8,83.7,84.1,83.6,83.7,84.1,84.0,83.7,84.2
odroid4,89.0,87.9,85.9,84.2,84.5,84.3,84.5,84.3,84.6,83.9,84.3,84.7,84.7,84.0
odroid4,89.9,89.0,85.7,84.7,84.4,84.1,84.1,85.4,84.3,84.2,84.3,84.4,84.1,84.2
odroid4,89.3,94.2,86.0,84.7,84.4,84.9,85.0,84.5,84.8,84.0,84.4,84.3,84.3,84.5
odroid4,88.8,87.3,85.8,84.3,84.3,84.0,84.0,84.5,84.3,84.1,84.4,84.0,84.0,84.1
odroid4,88.8,89.4,85.8,84.4,84.2,84.5,84.2,84.2,84.4,84.3,83.9,84.3,84.1,84.0
odroid4,89.3,89.4,85.7,84.6,84.5,84.5,84.5,84.6,84.3,84.5,84.1,84.3,84.4,84.4
odroid4,89.1,88.3,86.0,84.3,83.9,84.4,84.4,84.3,84.4,84.3,84.0,84.2,84.7,84.5
odroid4,89.1,94.4,85.2,84.0,84.2,84.8,84.1,83.9,84.1,84.4,84.6,84.0,84.0,84.1
odroid4,88.7,91.4,85.7,84.5,84.8,84.2,83.9,84.0,84.5,84.4,84.4,84.6,84.2,84.9
odroid4,89.4,89.0,85.7,84.5,84.5,84.2,85.1,84.5,84.3,84.4,84.5,84.8,84.1,84.7
odroid4,89.0,91.3,85.7,84.0,84.2,84.3,84.3,84.2,84.2,83.5,83.4,84.1,84.1,84.9
odroid4,89.3,88.6,85.9,85.0,84.3,84.9,84.3,84.1,84.3,84.3,85.4,84.1,84.3,84.5
odroid4,89.1,89.7,85.5,83.8,83.8,83.8,84.0,83.9,84.2,84.7,84.2,84.6,83.9,84.1
odroid4,89.3,91.8,86.0,84.0,84.1,83.7,83.9,84.2,83.8,83.9,84.0,84.0,84.2,84.4
odroid4,88.9,88.7,85.8,84.7,84.8,84.3,84.2,84.1,84.6,85.1,84.1,84.2,84.1,84.5
odroid4,89.3,90.0,85.7,84.6,84.4,83.9,84.0,84.4,84.6,85.5,84.6,84.7,84.3,84.6
odroid4,89.0,97.4,85.6,84.4,84.2,84.9,85.0,84.6,84.7,84.4,84.1,84.6,84.6,83.9
odroid4,89.3,89.6,85.7,84.0,84.5,84.5,84.1,84.4,84.3,84.5,84.4,84.3,84.2,84.4
odroid4,89.4,88.4,85.9,84.8,84.3,84.3,84.0,84.4,84.6,84.1,84.5,84.4,84.3,84.5
odroid4,88.7,87.6,86.3,84.3,84.2,84.3,84.3,84.9,84.4,84.5,84.5,84.3,84.5,84.2
odroid4,89.2,88.5,85.3,84.5,84.3,84.3,84.5,84.3,84.2,84.5,84.2,84.0,84.6,84.4
odroid4,89.3,86.0,86.9,84.7,84.4,84.6,83.2,83.5,84.2,84.5,86.3,85.8,84.5,85.4
