label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
rpi-4a,62.5,61.1,60.6,59.7,59.3,59.2,59.1,59.0,59.1,59.1,59.0,60.2,59.6,59.4
rpi-4a,62.6,61.1,60.1,59.3,59.2,59.7,59.5,59.0,59.4,59.4,59.6,59.6,59.0,59.8
rpi-4a,62.9,60.5,59.9,59.5,59.4,60.4,59.4,59.5,58.9,59.0,59.0,59.0,59.0,58.9
rpi-4a,62.3,61.7,60.7,60.1,59.0,58.9,59.8,59.1,59.1,59.2,59.7,59.2,59.2,59.1
rpi-4a,63.1,60.8,59.9,59.5,59.3,59.1,59.2,59.2,59.3,59.1,59.7,59.6,59.0,59.2
rpi-4a,62.5,61.0,60.4,59.6,59.7,59.4,59.3,59.4,59.4,59.4,59.6,59.6,59.7,59.3
rpi-4a,62.9,62.1,61.4,59.4,59.2,58.9,59.0,59.0,59.0,59.3,59.5,59.2,59.0,59.0
rpi-4a,62.2,60.4,60.2,59.5,59.0,59.3,59.0,58.9,58.9,59.0,59.0,58.8,58.9,59.0
rpi-4a,62.6,60.0,60.5,59.7,59.5,59.0,59.0,59.8,59.5,59.4,58.9,59.1,58.9,59.1
rpi-4a,62.8,60.1,59.8,59.4,59.2,59.2,59.0,59.7,59.7,59.0,59.9,59.6,59.4,59.0
rpi-4a,62.4,60.8,60.9,60.7,59.6,59.8,60.2,59.2,59.5,59.2,59.9,59.5,59.0,59.3
rpi-4a,62.6,60.6,60.0,59.5,58.9,59.0,59.0,59.8,59.7,59.1,59.1,59.0,59.3,59.4
rpi-4a,63.0,60.9,60.5,59.8,59.2,59.1,59.1,59.2,59.5,59.3,59.1,59.2,59.6,59.3
rpi-4a,61.7,60.8,60.2,59.6,59.0,59.1,59.0,59.0,59.1,59.0,59.0,59.1,59.1,59.2
rpi-4a,63.3,61.6,60.4,59.7,59.3,59.2,59.2,59.9,60.1,59.4,59.5,59.6,60.0,59.7
rpi-4a,62.8,61.0,60.2,59.6,59.2,59.2,59.2,59.2,59.3,59.0,59.2,58.9,59.1,59.4
rpi-4a,62.6,60.7,60.5,59.4,59.6,59.2,59.0,59.5,59.3,59.9,59.8,59.1,59.3,59.1
rpi-4a,62.4,60.6,60.1,59.5,59.4,59.4,59.4,59.0,59.0,59.0,59.1,59.1,59.1,59.2
rpi-4a,62.3,60.4,59.9,59.3,59.1,59.1,58.9,59.1,59.0,59.5,59.2,59.4,58.9,59.1
rpi-4a,62.4,61.0,60.2,59.5,60.0,59.3,59.4,59.4,59.8,59.4,59.7,59.3,59.4,59.1
