label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
rpi-8d,63.3,61.0,60.6,60.9,60.4,60.3,61.5,60.9,60.5,60.5,60.1,60.4,61.0,61.1
rpi-8d,64.1,61.8,60.8,59.9,59.9,61.2,59.9,60.4,59.7,60.5,60.9,59.9,60.0,60.8
rpi-8d,63.4,62.5,60.6,59.9,60.5,60.6,60.8,60.1,60.7,60.3,61.2,60.6,60.3,60.1
rpi-8d,63.3,62.4,60.6,60.6,59.9,60.1,59.8,60.2,60.4,60.3,60.6,60.4,60.3,59.9
rpi-8d,63.3,61.8,61.7,60.0,60.2,60.0,61.4,60.5,60.8,60.5,60.8,61.8,60.5,60.0
rpi-8d,63.5,61.4,60.8,62.2,61.1,59.9,60.4,60.2,61.0,60.5,60.4,60.4,69.9,80.9
rpi-8d,63.6,62.3,60.7,60.6,61.1,60.0,59.9,60.3,59.9,60.2,60.7,60.8,60.3,60.1
rpi-8d,64.0,62.9,60.5,60.6,59.6,61.4,60.3,60.6,60.6,59.8,59.8,60.1,60.0,60.2
rpi-8d,63.9,63.8,64.3,89.7,63.1,61.6,60.2,60.6,59.9,60.2,60.7,60.3,60.3,60.5
rpi-8d,63.3,62.0,60.6,60.4,60.8,60.9,60.0,60.6,60.3,60.0,60.1,60.7,61.0,61.0
rpi-8d,63.4,61.6,60.9,60.6,60.2,59.7,61.1,60.6,60.2,60.4,60.6,59.9,60.0,60.0
rpi-8d,64.3,62.6,60.7,60.0,59.8,60.5,60.5,60.2,61.0,60.5,60.7,60.4,60.6,60.7
rpi-8d,63.5,62.1,61.3,60.1,60.5,60.7,60.6,61.4,60.5,59.7,60.7,60.0,60.2,60.2
rpi-8d,63.3,62.1,62.7,61.0,59.9,60.1,60.7,59.6,60.1,61.4,61.0,61.5,60.1,60.2
rpi-8d,64.1,61.6,61.2,60.4,59.9,60.8,60.0,60.0,60.0,60.6,60.6,60.6,60.0,60.5
rpi-8d,62.6,61.7,61.1,60.8,60.4,59.9,60.2,60.0,60.5,60.6,60.3,60.4,61.0,60.2
rpi-8d,63.5,62.7,60.6,60.0,60.5,61.0,60.4,60.0,60.4,60.2,60.4,60.1,60.2,60.2
rpi-8d,64.1,61.8,61.7,60.6,60.4,60.4,59.8,60.2,60.5,59.8,60.3,59.9,60.4,61.1
rpi-8d,63.4,62.2,61.1,60.4,61.1,60.7,60.8,60.1,60.0,61.0,59.9,60.1,60.4,59.9
rpi-8d,64.1,62.6,61.1,60.5,97.4,60.9,60.8,60.6,61.3,60.3,60.4,60.3,60.2,60.0
rpi-8d,67.9,61.2,60.8,60.6,59.6,60.3,60.3,60.9,59.7,61.1,60.1,60.0,60.3,60.1
rpi-8d,63.1,62.4,61.2,62.2,60.5,60.2,60.2,60.1,60.2,59.9,60.2,60.5,60.4,60.3
rpi-8d,64.2,61.3,61.1,61.0,60.0,60.1,60.5,60.0,60.3,60.4,59.9,60.4,60.3,59.5
rpi-8d,64.4,61.6,61.8,60.5,60.1,60.4,60.7,60.6,60.8,59.9,60.3,60.7,60.1,60.5
rpi-8d,64.4,61.4,61.2,60.5,59.6,60.2,60.4,59.8,61.1,59.9,60.1,60.1,60.2,60.6
rpi-8d,62.9,61.5,61.0,60.5,60.8,59.9,60.7,60.5,60.2,60.0,60.4,59.9,60.0,60.5
rpi-8d,63.4,61.9,60.9,60.1,60.3,59.6,60.4,60.1,60.1,61.1,60.4,60.3,60.5,60.4
rpi-8d,63.5,61.4,61.2,61.0,61.1,60.2,60.3,60.2,60.7,60.0,60.4,60.5,61.0,60.6
rpi-8d,63.8,61.5,61.7,60.6,60.2,60.5,60.1,60.3,60.8,60.7,61.2,60.3,60.3,60.7
