label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20
odroid1,90.9,87.7,87.4,85.8,85.3,85.6,84.9,85.4,85,85,85.5,85,85.4,84.9,84.9,84.8,85,85.1,85.4,85.3,84.9
odroid1,90.3,87.7,86.6,85.5,84.9,85,85.1,85.4,85.2,85.8,84.7,85,84.9,85.2,85.5,85.2,85.2,84.9,85,84.7,84.9
odroid1,90.6,87.9,86.9,85.6,85.2,85.3,85.2,85,85.5,85.2,85,85.3,85.2,85.5,85.3,85,84.9,85.4,85.5,85.1,85.2
odroid1,90.9,87.5,86.9,85.4,85.1,85.2,85.3,85.2,84.9,85.2,84.9,85.2,85.2,85,84.9,85.1,84.9,85.5,84.9,84.9,85.3
odroid1,90.1,86.8,86.5,85.2,84.7,84.8,84.9,85.9,84.9,84.7,84.9,84.8,84.8,85,84.7,84.5,84.7,84.7,84.7,84.9,84.7
odroid1,90.4,88.9,86.7,85.5,85,85.1,85,84.9,85.2,84.9,85.2,85.5,84.9,84.9,85.1,85,84.9,85.3,85.3,85.1,85.3
odroid1,89.7,86.5,86.5,85.6,85.2,84.6,84.8,85.5,84.8,85.1,85.1,85.1,84.9,85,84.8,84.7,85.1,85.1,85.3,84.6,84.7
odroid1,90.4,87.3,87.3,85.4,85,85.4,85.4,85.5,84.8,85.7,85,85.5,85.3,85.3,84.5,84.8,84.9,85,85,85,85.6
odroid1,90.8,87.3,90.9,85.5,85.3,85.3,85.4,85.3,85.4,84.9,85.1,85.1,85,85.1,85.3,84.9,84.9,84.8,84.9,84.9,85.5
odroid1,90.6,86.4,86.6,85.4,84.5,84.5,84.6,84.8,84.8,84.7,85.1,85.2,84.8,84.6,84.8,85,85,84.7,84.8,84.8,85
odroid1,90.1,87.2,86.6,86.2,84.7,85.1,85,84.9,84.7,85,84.7,84.7,84.7,85.1,84.8,85,85,85,85,84.9,84.9
odroid1,90.7,87.6,88.8,87.2,85.3,85.5,91.1,91.1,90.6,91.4,91.5,90.8,91.2,91.4,86.5,85.7,85.6,85,85,85,85.2
odroid1,90.3,87.5,87.4,85.8,85.1,85.4,84.8,85.3,85,85.4,85.3,84.8,85.2,84.9,85.2,85,85.2,85.1,85.3,84.9,85
odroid1,89.7,87.4,86.7,85.7,85.1,85.4,85.8,84.5,84.9,84.7,84.8,84.6,84.7,84.7,85.1,85,84.9,84.6,84.8,85.3,85
odroid1,91.2,87.2,87.1,85.3,84.8,84.9,85,85.2,85.1,85,85.2,84.9,85.1,85.3,85.2,85.2,84.9,84.9,84.9,85.1,85.1
odroid1,90.3,87.2,87.1,85.1,84.9,85,85,84.7,84.9,85.2,84.9,85.2,84.8,85.1,84.7,84.6,85,85,85.1,84.7,85
odroid1,91.2,88.2,89.6,88.3,86.9,85.8,87.8,87.1,85.6,88.9,93,94.3,94.2,94,93.1,93.1,93.4,91.8,92.5,90.6,92.1
