label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20
rpi-8d,66.4,63.2,61.5,61.5,60.5,61.0,62.0,61.1,61.3,61.6,60.2,61.9,60.5,61.5,61.0,60.6,60.8,61.2,61.8,60.4,60.5
rpi-8d,64.5,62.2,62.0,62.1,61.0,61.6,61.4,61.1,61.1,61.3,61.1,60.6,60.8,60.9,61.1,61.4,61.6,61.3,60.9,60.5,61.1
rpi-8d,64.5,63.5,62.0,61.4,60.7,61.6,61.0,62.1,60.7,61.2,62.1,61.3,60.6,61.2,61.1,60.3,60.8,61.5,60.5,61.3,61.2
rpi-8d,64.8,63.8,61.6,61.2,60.6,61.3,61.3,60.4,61.1,61.4,60.7,61.0,61.3,61.4,61.1,60.8,61.2,61.2,61.3,61.7,60.6
rpi-8d,64.7,62.9,62.0,61.1,60.5,61.6,61.3,61.2,60.9,60.5,61.1,61.8,61.4,61.2,61.0,61.7,61.4,61.0,61.0,61.2,61.2
rpi-8d,64.3,63.2,62.8,60.7,60.9,60.9,60.9,60.8,61.5,60.6,61.2,60.6,61.3,61.5,61.0,61.8,60.4,60.5,60.4,61.8,61.3
rpi-8d,66.4,63.0,62.2,61.0,61.3,60.8,60.8,61.0,61.1,60.9,60.8,60.8,60.5,60.5,61.1,60.6,60.4,60.9,60.5,60.4,61.4
rpi-8d,64.4,64.5,62.2,62.4,61.3,60.9,60.9,60.8,60.8,61.2,61.1,61.0,61.2,61.7,61.3,61.5,61.3,61.1,61.6,61.7,61.4
rpi-8d,64.2,63.2,61.8,67.0,88.3,61.2,62.0,61.1,60.9,61.2,61.0,60.6,61.5,61.2,61.1,61.3,61.2,61.1,61.6,60.6,61.1
rpi-8d,65.2,62.0,61.4,61.1,61.3,60.7,61.6,60.7,61.5,61.5,62.2,61.4,61.0,60.7,62.0,60.2,61.6,60.7,60.5,61.3,60.5
rpi-8d,65.3,62.6,62.2,60.5,60.8,61.7,60.9,60.4,61.3,60.8,61.2,61.4,61.3,60.8,61.4,60.7,61.4,60.6,62.0,62.4,61.5
rpi-8d,64.6,62.1,62.3,61.4,61.1,60.8,60.7,61.8,61.4,61.2,60.8,61.5,60.7,60.7,60.8,61.2,60.9,61.3,62.4,61.4,61.0
