label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20
rpi_8c,63.6,60.7,61.0,60.1,59.7,59.2,59.4,59.3,59.6,59.4,59.3,59.7,59.5,59.1,59.6,59.5,59.2,59.2,59.4,59.2,59.5
rpi_8c,62.9,61.3,61.0,59.6,59.6,59.3,59.4,59.2,59.3,59.3,59.3,59.2,59.3,59.5,59.3,60.9,59.2,59.3,59.3,59.3,59.4
rpi_8c,62.7,61.9,60.7,59.4,59.2,59.2,59.2,59.6,59.4,59.2,59.5,59.2,59.3,59.4,59.1,59.1,60.2,59.3,59.3,59.4,59.3
rpi_8c,63.0,61.7,60.5,59.4,59.5,59.1,59.5,59.4,59.4,59.4,59.4,59.2,60.1,59.8,59.8,59.3,59.5,59.4,59.3,60.2,59.5
rpi_8c,63.9,60.5,60.1,59.3,59.5,59.3,59.4,59.5,59.3,59.3,59.3,59.3,59.3,59.5,59.2,59.2,59.2,59.1,59.8,59.3,59.3
rpi_8c,62.8,61.6,60.8,59.9,59.6,59.5,59.8,60.0,59.8,59.5,59.7,59.7,59.8,59.8,59.5,59.5,60.1,59.6,59.4,59.5,59.3
rpi_8c,66.1,64.5,61.6,61.1,60.1,60.1,60.1,60.5,61.1,61.2,61.2,61.2,61.8,61.2,60.3,60.6,61.2,60.4,60.6,60.7,60.3
rpi_8c,63.0,60.5,60.0,59.5,59.1,59.1,59.2,59.3,59.2,59.2,59.3,59.4,59.2,59.3,59.2,59.4,59.4,59.4,59.2,59.9,60.5
rpi_8c,63.2,61.7,60.3,59.8,60.3,59.9,59.9,59.8,59.6,59.9,59.5,59.4,59.4,59.6,59.1,59.2,59.6,59.3,59.4,59.4,59.4
rpi_8c,65.8,60.8,60.2,60.0,59.2,62.3,59.2,59.4,59.3,82.5,69.6,59.3,59.2,59.4,59.3,59.3,59.3,59.3,59.3,59.3,59.1
