label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
rpi-8c,15.8,15.8,17.3,983.6,15.5,18.4,18.3
rpi-8c,64.6,66.9,1506.7,18.6,19.9,18.4,17.1
rpi-8c,452.5,26.6,450.4,32.7,233.5,32.6,200.1
rpi-8c,209.8,15.6,17.6,1650.3,16.6,16.4,17.0
rpi-8c,14.7,15.8,17.0,16.9,48.2,79.8,96.3
rpi-8c,19.5,40.7,17.0,537.8,17.9,17.9,18.6
rpi-8c,27.6,1614.9,12.7,1037.6,17.8,16.7,17.6
rpi-8c,1358.3,16.0,16.5,15.5,396.2,15.9,17.6
rpi-8c,10.6,1644.7,16.9,15.0,16.6,16.7,16.3
rpi-8c,18.7,16.1,18.1,18.4,20.3,35.9,42.8
rpi-8c,15.2,62.4,86.3,56.3,97.4,68.2,634.4
rpi-8c,29.8,25.7,399.0,16.9,63.1,97.0,31.2
rpi-8c,12.8,17.9,17.6,17.0,17.1,17.3,17.7
rpi-8c,632.3,31.1,25.6,216.7,200.1,217.0,417.1
rpi-8c,701.8,18.1,19.4,33.4,48.0,2200.5,17.8
rpi-8c,13.7,15.1,17.6,16.7,30.7,75.9,48.0
rpi-8c,14.5,18.2,538.3,17.9,17.1,18.7,18.0
rpi-8c,23.4,65.2,96.0,49.3,29.7,96.6,81.6
rpi-8c,94.8,874.0,20.0,18.3,15.2,16.9,2017.9
rpi-8c,17.1,25.8,1156.2,21.4,18.7,18.6,19.5
rpi-8c,15.1,15.8,1200.4,15.5,16.2,16.2,16.5
rpi-8c,16.9,34.3,47.0,519.9,17.3,18.7,23.0
rpi-8c,15.6,19.8,16.7,17.8,79.3,9.1,95.4
rpi-8c,20.5,16.4,14.9,18.8,560.7,17.5,18.0
rpi-8c,17.9,17.5,35.4,1966.0,21.4,20.7,21.9
rpi-8c,89.2,29.2,39.7,170.6,14.1,144.5,83.4
rpi-8c,17.0,25.3,38.2,112.0,63.9,96.2,37.3
rpi-8c,18.9,16.2,19.2,1962.3,19.4,19.5,18.1
rpi-8c,542.1,20.5,29.3,79.8,60.5,1943.5,19.4
rpi-8c,13.8,161.9,99.1,88.2,39.9,99.8,2414.6
rpi-8c,29.3,849.8,3.4,14.8,16.7,16.7,61.8
rpi-8c,92.6,1388.1,13.5,17.8,1205.0,17.0,18.8
rpi-8c,17.2,16.7,16.7,21.5,52.2,35.7,60.5
rpi-8c,25.3,1477.9,16.8,18.4,18.3,18.2,18.3
rpi-8c,15.8,533.0,636.5,16.9,18.0,17.9,18.0
