label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
rpi-8d,19.1,19.5,1569.7,17.5,20.1,21.5,17.6
rpi-8d,16.8,16.5,338.6,1261.6,17.1,17.9,17.8
rpi-8d,15.7,20.4,117.1,1469.6,21,19.8,20.1
rpi-8d,17,16.3,16.5,16.5,1401,16.3,18.7
rpi-8d,20.3,19.8,20.9,957.5,20.1,21.5,19.8
rpi-8d,28.5,78.9,92,139.7,96.2,95.8,95.7
rpi-8d,16.2,18.3,1395.1,16.5,19.2,17.9,18.9
rpi-8d,18.5,44,48.8,1911.3,22.9,23.6,20.1
rpi-8d,61.3,76.9,15.6,187.6,10.4,16.6,109.6
rpi-8d,14,14.7,16,16.9,974.1,416.7,16.2
rpi-8d,15.4,15.5,125.6,1049.8,17.5,20.6,16.6
rpi-8d,19.1,16.5,17.3,546.1,21.6,20.3,18.4
rpi-8d,16.1,19.3,1167,628.7,18.4,18.9,18
rpi-8d,17.3,18.9,17.9,1162.7,19,20.6,22.7
rpi-8d,16.6,20.5,954.5,625.3,19.6,23.7,21.7
rpi-8d,16.6,22.7,1579.8,18.9,18.7,20.7,19.5
rpi-8d,14.8,20.4,18.1,962.6,18.7,19.4,19.1
rpi-8d,19.2,20.7,1386.3,17.4,19.7,20.7,19.5
rpi-8d,14.2,21.5,16.9,17.8,963.6,17.5,17.3
rpi-8d,14.1,1625,17.9,18.4,21.3,17.9,17.9
rpi-8d,19.8,27.1,14.9,1372.8,20.9,22.5,19.4
rpi-8d,16.5,13.9,18.1,16.2,1165.1,17,17.2
rpi-8d,15.4,29.1,76.9,17.1,48.9,31.8,152.6
rpi-8d,17.8,18.5,17,987,19,18.4,21.1
rpi-8d,14.9,15.4,126.2,1048.3,17.9,18.4,18.3
rpi-8d,16,9.8,16.3,17,15.5,1204.3,14.4
rpi-8d,15.2,15.5,24.2,945.4,18.6,16.4,17
rpi-8d,17.9,17.6,1164.6,629.1,18.3,19.7,18.5
rpi-8d,20.3,16.7,49.8,1123,19.2,19.3,21.2
rpi-8d,19.1,19.8,349.9,629.5,20.4,21.7,19.6
rpi-8d,17.6,18.3,18.2,972.2,20.2,19.8,21
rpi-8d,31.1,453,44.1,251.7,248.4,470.9,45.8
rpi-8d,18.1,21.7,16.8,61.5,1086.9,18.4,18.4
rpi-8d,1094.8,16.6,19.7,18.7,18.2,18.9,43.8
rpi-8d,19.7,18.9,1792.7,19.2,20.3,16.7,18.1
rpi-8d,17.8,21.5,1351.7,5.8,18.9,20.1,20.1
rpi-8d,13.9,16.6,126.7,25.9,64.4,959.1,17.8
rpi-8d,15.3,16.2,17.5,73.7,38.4,62.8,63.8
rpi-8d,9.7,17,15.7,18.1,20.7,1200.6,15.7
rpi-8d,17.3,129.1,21.2,1457.2,17.8,20.9,19.9
rpi-8d,16.7,18,24.8,1154.3,18.5,19.4,1018.3
rpi-8d,16.3,16.6,17.9,20.7,562.7,17.2,19.8
rpi-8d,16.9,19.4,1586,17.2,19.3,19,21
